CÓDIGO,CÓDIGO PROVEEDOR,CLASIFICACIÓN,DESCRIPCIÓN,PESENTACIÓN,CATEGORIA ABASTECIMIENTO, REFERENCIA CONSUMO UNITARIO ANUAL 2019,CANTIDAD VENDIDA HS AÑO 2019,ABC,Marca Ofertada,Precio  unitario ofertado paraComplejo Uruca,% descuento,DESCUENTO,IVA,PRECIO FINAL,Columna1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09053,,,CICLOSPORINA A 0.1% GOTAS OFTALMICAS,Frasco 5mL,Z,4,,C,modusik," ₡27,631.80 ",20%," 5,526.36 ",2%,22547.55,MODUSIK-A OFTENO 0.1% 5 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09057,10070121,,CIPROFLOXACINA 0.3 % GOTAS OFTALMICAS,Frasco 5mL,No Lom,52,0,C,SOFIA," ₡19,485.00 ",20%," 3,897.00 ",2%,15899.76,"SOPHIXIN OFTENO 0,3% 5ML",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09345,16070011,,CIPROFLOXACINA 0.3% Y DEXAMETASONA 0.1 % GOTAS OFTÁLMICAS,Frasco 5mL,No Lom,27,,C,sophia," ₡15,794.00 ",20%," 3,158.80 ",2%,12887.90,SOPHIXIN DX OFTENO 3MG/1MG/ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04023,no disponible,Críticos,CIPROFLOXACINA 200MG/ML,Frasco inyectable ,Transito,180,,B,, no disponible ,25%,#VALUE!,,#VALUE!,no disponible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01034,16010080,,CIPROFLOXACINA 500 MG,Tableta unitario,Almacenable,49761,1550,A,GENFAR, ₡895.00 ,30%, 268.50 ,2%,639.03,CIPROFLOXACINO GENFAR 500 MG *10 TABS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX048,10040144,,CITICOLINA 100 MG/ML SOLUCIÓN ORAL GOTAS,Frasco 30mL,No Lom,149,104,C,FERRER," ₡18,793.00 ",20%," 3,758.60 ",2%,15335.09,SOMAZINA SOLUCION 30ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX050,10010678,,CITICOLINA 500 MG TABLETA,Tableta unitario,No Lom,4639,1150,C,FERRER," ₡1,827.00 ",20%, 365.40 ,2%,1490.83,SOMAZINA 500 MG*10 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09058,16010126,,CLARITROMICINA 500 MG/TAB,Tableta unitario,Z,473,,C,GLOBAL ," ₡1,320.00 ",20%, 264.00 ,2%,1077.12,KLARISTAT 500MG * 10 TABLETAS REC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09346,16010030,Críticos,CLINDAMICINA 300 MG/CAPSULA,Cápsula unitario,Z,1207,,B,LA SANTE, ₡615.00 ,25%, 153.75 ,2%,470.48,CLINDAMICINA 300 X 24 LA SANTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04022,,,CLINDAMICINA FOSTATO 600 MG ,Ampolla,Almacenable,21496,,A,," ₡4,998.00 ",30%," 1,499.40 ",2%,3568.57,CLINDAMICINA 600MG/4ML INY. UNIDAD FRASCO VITALIS X10 UNID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09059,11010004,Críticos,CLONAZEPAN  2 MG/TABLETA,Tableta unitario,Z,13230,,A,rivotril, ₡495.00 ,30%, 148.50 ,2%,353.43,PSICOTROPICO RIVOTRIL 2 MG *30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09335,11050001,,CLONAZEPAN  2.5 MG/ ML FRASCO GOTERO,Frasco 10-20mL,Z,370,,C,ROCHE," ₡15,246.00 ",20%," 3,049.20 ",2%,12440.74,PSICOTROPICO RIVOTRIL 2.5 MG/ML GOTAS 10 ML.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09060,10010346,,CLOPIDOGREL 75 MG***,Tableta unitario,Almacenable,8151,,A,STEIN, ₡866.00 ,30%, 259.80 ,2%,618.32,EXPANSIA 75MG * 28 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04025,10033084,,CLORFENIRAMINA 10 MG AMPOLLA ,Ampolla,Almacenable,4613,,A,LAPRIN," ₡3,612.51 ",30%," 1,083.75 ",2%,2579.33,HISTAPRIN 1 ML INY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01040,10011430,,CLORFENIRAMINA 4 MG ,Tableta unitario,Almacenable,48630,,A,RAVEN, ₡100.90 ,30%, 30.27 ,2%,72.04,CLORFENIRAMINA 4MG CAJA *100 RAVEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M02074,40420348,,CLORHEXIDINA GLUCONATO 0.12% ENJUAGUE BUCAL,Frasco 240-250mL,Almacenable,2108,,B,STEIN," ₡7,755.78 ",25%," 1,938.95 ",2%,5933.17,CLOREXIL ENJUAGUE 0.12% VERDE  240 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M05012,10132132,,CLORHEXIDINA GLUCONATO 4% P/V SOLUCIÓN TÓPICA ,FRASCO DE 100 Ó 120 ML,Almacenable,37518,,B,LISAN," ₡2,932.00 ",25%, 733.00 ,2%,2242.98,STEROP LISAN 100 ML.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01046,10010029,,CODEÍNA CON ACETAMINOFÉN 30 MG Y 500 MG ,Tableta unitario,Almacenable,1765345,,A,STEIN, ₡195.00 ,30%, 58.50 ,2%,139.23,ACETAMINOFEN CODEINA  STEIN * 1000 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX231,no disponible,,COLECTOR DE GOTAS INCONTINENCIA PARA HOMBRE ,Paquete,No Lom,3773,,B,, no disponible ,25%,#VALUE!,,#VALUE!,preguntar natalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX052,10011079,,COLESTIRAMINA 4G POLVO PARA SUSPENSION ORAL,Sobre ,No Lom,0,,C,cholest, ₡830.00 ,20%, 166.00 ,2%,677.28,CHOLEST 4 GRS * 50 SOBRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04028,10033058,,COMPLEJO B SOLUCIÓN INYECTABLE,Frasco inyectable ,No Lom,19,,C,ALCAMES," ₡3,568.53 ",20%, 713.71 ,2%,2911.92,COMPLEJO VIT. B ALCAMES 10 ML.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX233,no disponible,,COMPLEJO PROTOMBÍNICO,Frasco inyectable ,No Lom,18,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M02028,40410121,,CREMA DE ROSAS ,Tubo  50 A 60 G,Almacenable,22849,,A,FIDE," ₡1,740.20 ",30%, 522.06 ,2%,1242.50,CREMA DE ROSAS FIDE 110 GRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX056,10132196,,CREMA HIDRATANTE DE UREA AL 10%  Loción, Frasco 200-250mL,No Lom,34,,C,," ₡12,560.00 ",20%," 2,512.00 ",2%,10248.96,DERMIUREA 10 % 200 ML.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX057,10132006,,CREMA HIDRATANTE DE UREA AL 20% CREMA  Loción, Frasco 200-250mL,No Lom,0,,C,," ₡19,801.00 ",20%," 3,960.20 ",13%,17900.10,DERMIUREA 20 % 200 ML.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX058,10132195,,CREMA HIDRATANTE DE UREA AL 30% CREMA Loción, Frasco 200-250mL,No Lom,0,,C,," ₡19,793.00 ",20%," 3,958.60 ",13%,17892.87,DERMIUREA 30 % 200 ML.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX059,40410479,,CREMA HIDRATANTE MATIFICANTE ,Frasco 40-50mL,No Lom,43,,C,," ₡34,208.00 ",20%," 6,841.60 ",13%,30924.03,EFFAKLAR M HIDRATANTE MATIFICANTE 40 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09050,40410867,Críticos,CREMA LÍQUIDA EXTRA - HUMECTANTE , Frasco 400mL,Z,1117,,B,," ₡3,132.00 ",25%, 783.00 ,13%,2654.37,EUCERIN PH LOCION PIEL SECA Y SENS 400ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX060,10132293,,CREMA REGENERADORA,Tubo 125mL,No Lom,1,,C,," ₡5,671.00 ",20%," 1,134.20 ",2%,4627.54,CREMA F3 MANZANILLA 120 GRS...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01049,no disponible,,DESCONGESTIONANTE RESPIRATORIO SOLUCIÓN  ORAL ,Frasco 120mL,Almacenable,1029,,B,, no disponible ,25%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01057,10010620,,DESVENLAFAXINA 50 MG,Tableta unitario,No Lom,28927,,A,PFIZER," ₡1,860.00 ",30%, 558.00 ,2%,1328.04,PRISTIQ 50 MG X 28 TABS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01052,10010066,,"DEXAMETASONA 0,5 MG
",Tableta unitario,Almacenable,7016,,C,alergodex, ₡103.00 ,20%, 20.60 ,2%,84.05,ALERGODEX * 100 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M03010,16070002,,DEXAMETASONA CON NEOMICINA SOLUCIÓN OFTÁLMICA,Frasco gotero  5mL,Almacenable,2123,,C,ALCAMES," ₡5,725.43 ",20%," 1,145.09 ",2%,4671.95,DEXAMETASONA COLIRIO OFT. ALCAMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04031,10033064,,DEXAMETASONA Ó BETAMETASONA 4 Ó 5 MG AMP ,Ampolla,Almacenable,39518,,A,GUTIS, ₡990.00 ,30%, 297.00 ,2%,706.86,DEXAMETASONA GUTIS * 50 AMPOLLAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09347,10010247,,"DEXKETOPROFENO 25 MG
TABLETA",Tableta unitario,Almacenable,139023,,A,GUTIS, ₡900.00 ,30%, 270.00 ,2%,642.60,DALIVIUM 25MG*100 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09078,10033061,,DEXKETOPROFENO TROMETANOL 50 MG/AMP ,Ampolla 2mL,Almacenable,77436,,A,GUTIS," ₡2,600.00 ",30%, 780.00 ,2%,1856.40,DALIVIUM 50 MG X 5 AMPOLLAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04047,no disponible,,DEXMEDETOMIDIINA 100 MCG/ML,Frasco inyectable ,Transito,858,,B,, no disponible ,25%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04033,no disponible,,DEXTRINOMALTOSA 95G POR CADA 100 G,Lata 500 gramos,Z,187,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01055,10040153,,"DEXTROMETORFANO 0,3 % JARABE ",Frasco 100 a 120mL,Almacenable,535,,C,," ₡4,960.00 ",20%, 992.00 ,2%,4047.36,TOSCAL JARABE 120 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09079,10010255,,DEXTROMETORFANO 15 MG/TAB,Tableta unitario,Z,111,,C,LISAN, ₡226.89 ,20%, 45.38 ,2%,185.14,DEXTROMETORFANO LISAN 15MG * 100 TAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M06004,no disponible,,DIAZEPÁN 10MG AMPOLLA ,Ampolla,Transito,228,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M06001,no disponible,,DIAZEPÁN 5MG TABLETA ,Tableta unitario,Almacenable,47772,,B,, no disponible ,25%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M02032,10132054,,DICLOFENACO  1%  GEL,Tubo 50 gramos,Almacenable,21334,,A,GUTIS," ₡4,830.00 ",30%," 1,449.00 ",2%,3448.62,KATAFENAC GEL 30 GRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04049,10033070,,DICLOFENACO  75 MG/3 ML AMPOLLA ,Ampolla,Almacenable,82965,,A,DENK," ₡1,921.56 ",30%, 576.47 ,2%,1371.99,DICLOFENACO SODICO DENK INY.*5 AMP.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX061,10070072,,DICLOFENACO OFTALMICO,,No Lom,24,,C,," ₡17,068.00 ",20%," 3,413.60 ",2%,13927.49,TRES A OFTENO GOTAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01056,10010171,,DICLOFENACO POTASICO 25 MG / GRAGEA ,Tableta unitario,Z,6826,,B,NOVARTIS, ₡358.00 ,25%, 89.50 ,2%,273.87,CATAFLAM 25MG * 20 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX062,10010436,,DICLOFENACO POTÁSICO 50 MG TABLETA,Tableta unitario,No Lom,30,,C,GUTIS, ₡551.81 ,20%, 110.36 ,2%,450.28,KATAFENAC TABLETAS * 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09349,10040090,Críticos,DICLOFENACO RESINATO 9 MG/CTA,Frasco 120mL,Z,270,,C,GUTIS," ₡5,320.00 ",20%," 1,064.00 ",2%,4341.12,KATAFENAC SUSPENSION 120 ML.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M13215,no disponible,,DIETA ELEMENTAL NUTRICIONALMENTE COMPLETA (ELEMENTA028)POLVO,Sobre 100g,No Lom,872,,B,, no disponible ,25%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01061,no disponible,,DIFENHIDRAMINA 50 MG ,Tableta unitario,Almacenable,26566,,A,, no disponible ,30%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09087,no disponible,,DIFENILHIDANTOINA (FENITOINA 50 MG/ML) AMPOLLA DE 5 ML ,Ampolla,Transito,415,,B,, no disponible ,25%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01067,10010273,,DIFENILHIDANTOÍNA SÓDICA 100 MG ,Frasco x 100 tabletas,Almacenable,28690,,A,, ₡350.00 ,30%, 105.00 ,2%,249.90,DILANTIN 100MG* 100 CAPSULAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09090,10050016,,"DIGOXINA 0.075 % (0,75 MG/ML) ",Frasco 1mL,Z,4,,C,GUTIS," ₡8,295.00 ",20%," 1,659.00 ",2%,6768.72,DIGOXINA 0.075% GOTAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09091,no disponible,,DIGOXINA 0.25 MG/ML ,Ampolla,Transito,105,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04052,,,DIMENHIDRINATO 5% INYECTABLE ,Ampolla,Almacenable,1150,,C,," ₡3,780.00 ",20%, 756.00 ,2%,3084.48,DIMENHIDRINATO ALCAMES 50 MG/ML.5 ML.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01070,10010405,,DIMENHIDRINATO 50 MG TABLETA ,Tableta unitario,Almacenable,19249,,A,ZAMBON, ₡217.86 ,30%, 65.36 ,2%,155.55,GRAVOL 50MG*100 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09243,10010043,,DIMETICONA O SIMETICONA TABLETAS,Tableta unitario,Z,566,,C,OM PHARMA, ₡215.00 ,20%, 43.00 ,2%,175.44,AERO-OM * 250 COMPRIMIDOS MASTICABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09352,10011577,,DIOSMINA CON HESPERIDINA 450 MG + 50 MG TABLETA,Tableta unitario,Almacenable,17335,,A,GLOBAL , ₡392.00 ,30%, 117.60 ,2%,279.89,DIOSMIL 500MG * 30 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01072,10010991,,DIVALPROATO DE SODIO 250 MG TABLETAS,Tableta unitario,Almacenable,152453,,A,, ₡856.00 ,30%, 256.80 ,2%,611.18,EPIVAL 250MG TAB X 30 TAB.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX236,10011043,,DIVALPROATO DE SODIO ER 500 MG,Tableta unitario,No Lom,60,,C,, ₡545.00 ,20%, 109.00 ,2%,444.72,EPIVAL ER 250MG * 30 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09272,10040195,,DIVALPROATO DE SODIO EQUIVALENTE A 250 MG/5 ML JARABE,Frasco 120mL,Z,156,,C,depakene," ₡11,620.00 ",20%," 2,324.00 ",2%,9481.92,DEPAKENE JARABE 250MG/5ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M07203,,,DOBUTAMINA AMPOLLAS ,Ampollas,Transito,23,,C,," ₡37,789.00 ",20%," 7,557.80 ",2%,30835.82,Dobutamina frasco 12.5mg/ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX065,10011573,,DOMPERIDONA 10 MG TABLETA,Tableta unitario,No Lom,3621,,B,, ₡240.00 ,25%, 60.00 ,2%,183.60,GASTROFLUX LAPRIN 10MG *30 COMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M08016,,,"DOPAMINA HIDROCLORURO 200 MG/5 ML
SOLUCIÓN INYECTABLE",Ampollas,Almacenable,34,,C,," ₡4,513.00 ",20%, 902.60 ,2%,3682.61,DOPAMINA AMP 200MG/5ML SANDERSON X UNA AMPOLLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09096,10070058,Críticos,DORZOLAMIDA 2% + TIMOLOL 0.5 % GOTAS OFTALMICAS 5 ML,Frasco 5mL,Almacenable,209,,C,ROMMERS," ₡29,597.00 ",20%," 5,919.40 ",2%,24151.15,GLAUCOTENSIL T OFTALMICA 5 ML.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09097,10070020,,DORZOLAMIDA 2% GOTAS OFTALMICAS 5 ML,Frasco 5mL,Z,7,,C,SOPHIA," ₡16,259.00 ",20%," 3,251.80 ",2%,13267.34,IMOT OFTENO 0.5 % 15 ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09098,16010052,Críticos,DOXICICLINA 100MG/TAB ,Tableta unitario,Z,14506,,A,," ₡1,113.00 ",30%, 333.90 ,2%,794.68,SUPRAMYCINA 100 MG*10 TABS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04150,,,DROPERIDOL 5MG/2ML ,Ampolla,Z,30,,C,," ₡2,982.00 ",20%, 596.40 ,2%,2433.31,DROPERIDOL 2.5MG/1ML X UNA AMPOLLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01069,10010935,,DULOXETINA  60 MG***,Tableta unitario,Almacenable,85738,,A,," ₡1,576.00 ",30%, 472.80 ,2%,1125.26,DULVANEX 60MG * 30COMP**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01068,10010934,,DULOXETINA 30MG CAPSULAS ,Tableta unitario,Almacenable,24028,,A,," ₡2,012.00 ",30%, 603.60 ,2%,1436.57,DULVANEX 30 MG.*15 COMPRIMIDOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09100,10140004,,ELECTROLITOS ORALES,Sobres para preparar 1L,Z,104,,C,APO, ₡634.00 ,20%, 126.80 ,2%,517.34,ELECTROLITOS APO LIMON X 4 SOBRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX227,10140023,,ELECTROLITOS ORALES LÍQUIDO,Botella 1 L,No Lom,8,,C,," ₡2,579.00 ",20%, 515.80 ,2%,2104.46,NEW SHAPE TUTI FRUTI 1000 ML.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M08144,no disponible,,ELVITEGRAVIR 150MG + COBICISTAT 150MG + EMTRICITABINA 200MG + TENOFOVIR ALAFENAMIDA 10MG                COMPRIMIDOS RECUBIERTOS. ***,Tableta unitario,Almacenable,725,,B,, no disponible ,25%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01073,10011773,,ENALAPRIL 20 MG TABLETA ,Tableta unitario,Almacenable,6802,,B,RAVEN, ₡151.00 ,25%, 37.75 ,2%,115.52,ENALAPRIL RAVEN 20MG * 200 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01074,10010317,,ENALAPRIL 5 MG ,Tableta unitario,Almacenable,2061,,B,0.4, ₡140.00 ,25%, 35.00 ,2%,107.10,ENALAPRIL RAVEN 5MG *30 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX068,10010316,,ENZIMAS PANCREÁTICAS-PANCREATINA 300 MG CÁPSULA,Cápsula unitario,No Lom,240,,C,MERCK, ₡354.75 ,20%, 70.95 ,2%,289.48,ENZYPRIDE DISPENSADOR * 120 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M02037,,,ENZIMAS PROTEOLÍTICAS 10% UNGUENTO ,Tubo 15- 20g,Almacenable,1496,,C,IRUXOL," ₡11,803.00 ",20%," 2,360.60 ",2%,9631.25,IRUXOL UNGUENTO 15 GRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04055,,,EPINEFRINA CLORHIDRATO 1MG AMPOLLA ,Ampolla,Almacenable,1309,,C,," ₡3,127.00 ",20%, 625.40 ,2%,2551.63,EPINEFRINA 1MG /ML LAB SANDERSON X100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX069,,,ERITROPOYETINA 2000 UI SOLUCION INYECTABLE ,Jeringa prellenada,No Lom,60,,C,," ₡64,860.00 ",20%," 12,972.00 ",2%,52925.76,UNIDAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09504,,Críticos,ERITROPOYETINA 4.000 UI,Jeringa prellenada,Z,129,,C,," ₡184,352.00 ",20%," 36,870.40 ",2%,150431.23,UNIDAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09303,,Críticos,ERTAPENEM  SODICO 1 GRAMO ,Frasco inyectable ,Transito,1099,,B,ilvax," ₡46,515.00 ",25%," 11,628.75 ",2%,35583.98,INVANZ X 1 VIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01076,10010918,,ESCITALOPRAM 10 MG ***,Tableta unitario,Almacenable,37309,,A,0.35, ₡641.00 ,30%, 192.30 ,2%,457.67,ESCITALOPRAM CALOX 10 MG  X CAJA 28 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX070,10020020,,ESOMEPRAZOL 10 MG GRANULADO PARA SUSPENSION ORAL,Sobre  con polvo,No Lom,247,,C,," ₡1,350.00 ",20%, 270.00 ,2%,1101.60,NEXIUM 10 MG * 28 SOBRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX181,10010387,,ESOMEPRAZOL 20 MG TABLETAS,Tableta unitario,No Lom,144,,C,GUTIS, ₡246.00 ,20%, 49.20 ,2%,200.74,GASTROALIVIO 20MG *30 CAPSULAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX182,10011979,,ESOMEPRAZOL 40 MG TABLETAS,Tableta unitario,No Lom,810,,C,GENFAR, ₡600.00 ,20%, 120.00 ,2%,489.60,ESOMEPRAZOL GENFAR 40MG X 10 TAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX071,80810089,,ESPESANTE INSTANTANEO DE ALIMENTOS Y BEBIDAS POLVO,Lata 227 gramos,No Lom,64,,C,," ₡10,744.00 ",20%," 2,148.80 ",2%,8767.10,ENTEREX ESPESANTE POLVO 227 G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M08005,10010069,,ESPIRONOLACTONA 100 MG,Tableta unitario,Z,599,,C,, ₡798.00 ,20%, 159.60 ,2%,651.17,ALDACTONE 100MG *30 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX221,,,ETAMSILATO 250 MG INYECTABLE,Ampolla,No Lom,12,,C,DICYNONE," ₡2,746.00 ",20%, 549.20 ,2%,2240.74,DICYNONE 250MG/2ML*4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01031,10010349,,FAMOTIDINA 40 MG TABLETA ,Tableta unitario,Almacenable,134719,,A,, ₡196.00 ,30%, 58.80 ,2%,139.94,FAMOTIDINA STEIN *100 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01079,10010624,,FENAZOPIRIDINA 100MG,Tableta unitario,Z,669,,C,ROWE, ₡384.91 ,20%, 76.98 ,2%,314.09,PYRIDIUM 100 MG X 100 TAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04152,no disponible,,FENILEFRINA 1% (10 MG / ML) O EFEDRINA 50 MG / ML ,Ampolla,Transito,1047,,B,, no disponible ,25%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M06010,no disponible,,FENOBARBITAL 100MG TABLETA,Tableta unitario,Z,0,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09377,,,FENTANILO 25 MCG ,Parche transdérmico,CONTRAPEDIDO,234,,C,," ₡10,218.00 ",20%," 2,043.60 ",2%,8337.89,DUROGESIC 25MCG X5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09115,no disponible,,FENTANILO CITRATO 0.05MG/ML ,Ampolla,CONTRAPEDIDO,27861,,A,, no disponible ,30%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01035,10010047,,FEXOFENADINA 120 MG ,Tableta unitario,Almacenable,84101,,A,GUTIS," ₡1,030.00 ",30%, 309.00 ,2%,735.42,AFEXINA  GUTIS 120MG * 10 TABLETAS GUTIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX074,80810233,,FIBRA LIQUIDA (,Frasco 32 onzas,No Lom,14,,C,," ₡19,640.25 ",20%," 3,928.05 ",2%,16026.44,B-FIBER PLUS 480 ML.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04148,10033122,,FITOMENADIONA --- VITAMINA K 10 MG/ML INYECTABLE AMPOLLA 1ML,Ampolla,Z,15,,C,ALCAMES," ₡3,055.00 ",20%, 611.00 ,2%,2492.88,VITAMINA K1 ALCAMES 1 ML.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09120,no disponible,,FLUCONAZOL 2 MG/ ML ,Frasco 100mL,Transito,285,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
