ARTICULO,NOMBRE_ARTICULO, PRECIO COSTO , precio 4% , Precio Ofrecido sin IVA , PRECIO 20% , PRECIO 30% , PRECIO 40% ,PRECIO 50%,PRECIO 60%,PRECIO 80%,PRECIO 100%,Cost per Drug,Profit Margin 
10033060,CROMATOMBIC FERRO AMP.INYECTABLE," ₡7,063.73 "," ₡7,346.28 "," ₡8,123.29 "," ₡8,476.48 "," ₡9,182.85 "," ₡9,889.22 "," ₡10,595.60 "," ₡11,301.97 "," ₡12,714.71 "," ₡14,127.46 "," ₡16,599.77 ", (0.81)
10010241,CROMATONBIC FERRO *30 TABLETAS," ₡3,880.00 "," ₡4,035.20 "," ₡4,462.00 "," ₡4,656.00 "," ₡5,044.00 "," ₡5,432.00 "," ₡5,820.00 "," ₡6,208.00 "," ₡6,984.00 "," ₡7,760.00 "," ₡9,118.00 ", (0.81)
50520912,CUADROS DE GASA SURQUI 3*3 *100 SOBRES.," ₡3,926.47 "," ₡4,083.53 "," ₡4,515.44 "," ₡4,711.76 "," ₡5,104.41 "," ₡5,497.06 "," ₡5,889.71 "," ₡6,282.35 "," ₡7,067.65 "," ₡7,852.94 "," ₡9,227.20 ", (0.81)
60010263,CURCUMA NATURAL HEALTH *100 CÁPSULAS., ₡765.00 , ₡795.60 , ₡879.75 , ₡918.00 , ₡994.50 ," ₡1,071.00 "," ₡1,147.50 "," ₡1,224.00 "," ₡1,377.00 "," ₡1,530.00 "," ₡1,797.75 ", (0.81)
50520749,CURITA ELASTICA CURE-AID X 20 UNI," ₡1,475.00 "," ₡1,534.00 "," ₡1,696.25 "," ₡1,770.00 "," ₡1,917.50 "," ₡2,065.00 "," ₡2,212.50 "," ₡2,360.00 "," ₡2,655.00 "," ₡2,950.00 "," ₡3,466.25 ", (0.81)
50521044,CURITAS LARGAS CURE-AID X 100 UNI, ₡980.00 ," ₡1,019.20 "," ₡1,127.00 "," ₡1,176.00 "," ₡1,274.00 "," ₡1,372.00 "," ₡1,470.00 "," ₡1,568.00 "," ₡1,764.00 "," ₡1,960.00 "," ₡2,303.00 ", (0.81)
50520062,CURITAS REDONDAS * 100 CURE AID," ₡5,495.10 "," ₡5,714.90 "," ₡6,319.37 "," ₡6,594.12 "," ₡7,143.63 "," ₡7,693.14 "," ₡8,242.65 "," ₡8,792.16 "," ₡9,891.18 "," ₡10,990.20 "," ₡12,913.49 ", (0.81)
16130006,CUTACLIN GEL 1% 30 GRS," ₡1,159.29 "," ₡1,205.66 "," ₡1,333.18 "," ₡1,391.15 "," ₡1,507.08 "," ₡1,623.01 "," ₡1,738.94 "," ₡1,854.86 "," ₡2,086.72 "," ₡2,318.58 "," ₡2,724.33 ", (0.81)
90970061,CUTTER CUCHILLA GRANDE," ₡20,083.33 "," ₡20,886.66 "," ₡23,095.83 "," ₡24,100.00 "," ₡26,108.33 "," ₡28,116.66 "," ₡30,125.00 "," ₡32,133.33 "," ₡36,149.99 "," ₡40,166.66 "," ₡47,195.83 ", (0.81)
10011578,CYCLO 3 FORT *60 CAPSULAS," ₡24,014.71 "," ₡24,975.30 "," ₡27,616.92 "," ₡28,817.65 "," ₡31,219.12 "," ₡33,620.59 "," ₡36,022.07 "," ₡38,423.54 "," ₡43,226.48 "," ₡48,029.42 "," ₡56,434.57 ", (0.81)
10011228,CYMBALTA 30 MG*14 TABLETAS," ₡44,598.04 "," ₡46,381.96 "," ₡51,287.75 "," ₡53,517.65 "," ₡57,977.45 "," ₡62,437.26 "," ₡66,897.06 "," ₡71,356.86 "," ₡80,276.47 "," ₡89,196.08 "," ₡104,805.39 ", (0.81)
10010932,CYMBALTA 60 MG.*28 CAPS.**," ₡3,573.72 "," ₡3,716.67 "," ₡4,109.78 "," ₡4,288.46 "," ₡4,645.84 "," ₡5,003.21 "," ₡5,360.58 "," ₡5,717.95 "," ₡6,432.70 "," ₡7,147.44 "," ₡8,398.24 ", (0.81)
10010245,D-TATO 100MG * 20 PERLAS," ₡14,441.18 "," ₡15,018.83 "," ₡16,607.36 "," ₡17,329.42 "," ₡18,773.53 "," ₡20,217.65 "," ₡21,661.77 "," ₡23,105.89 "," ₡25,994.12 "," ₡28,882.36 "," ₡33,936.77 ", (0.81)
16010086,DALACIN C 300MG CAP X 16," ₡41,362.75 "," ₡43,017.26 "," ₡47,567.16 "," ₡49,635.30 "," ₡53,771.58 "," ₡57,907.85 "," ₡62,044.13 "," ₡66,180.40 "," ₡74,452.95 "," ₡82,725.50 "," ₡97,202.46 ", (0.81)
10090041,DALIVIUM BEBIBLE 25MG/10ML *50 STICKS SOLUCION," ₡6,485.29 "," ₡6,744.70 "," ₡7,458.08 "," ₡7,782.35 "," ₡8,430.88 "," ₡9,079.41 "," ₡9,727.94 "," ₡10,376.46 "," ₡11,673.52 "," ₡12,970.58 "," ₡15,240.43 ", (0.81)
14010015,DANIELE *21 COMP.," ₡8,539.22 "," ₡8,880.79 "," ₡9,820.10 "," ₡10,247.06 "," ₡11,100.99 "," ₡11,954.91 "," ₡12,808.83 "," ₡13,662.75 "," ₡15,370.60 "," ₡17,078.44 "," ₡20,067.17 ", (0.81)
10010248,DAYAMINERAL * 30 TABLETAS," ₡8,686.27 "," ₡9,033.72 "," ₡9,989.21 "," ₡10,423.52 "," ₡11,292.15 "," ₡12,160.78 "," ₡13,029.41 "," ₡13,898.03 "," ₡15,635.29 "," ₡17,372.54 "," ₡20,412.73 ", (0.81)
10010251,DECATILENO *100 TABLETAS," ₡12,047.36 "," ₡12,529.25 "," ₡13,854.46 "," ₡14,456.83 "," ₡15,661.57 "," ₡16,866.30 "," ₡18,071.04 "," ₡19,275.78 "," ₡21,685.25 "," ₡24,094.72 "," ₡28,311.30 ", (0.81)
40410470,DEFENCE DEO TALCO-CREMA BIONIKE 40 ML," ₡13,509.80 "," ₡14,050.19 "," ₡15,536.27 "," ₡16,211.76 "," ₡17,562.74 "," ₡18,913.72 "," ₡20,264.70 "," ₡21,615.68 "," ₡24,317.64 "," ₡27,019.60 "," ₡31,748.03 ", (0.81)
10011230,DEFLAZACORT CALOX 30 MG*10 TABLETAS," ₡1,699.12 "," ₡1,767.08 "," ₡1,953.99 "," ₡2,038.94 "," ₡2,208.86 "," ₡2,378.77 "," ₡2,548.68 "," ₡2,718.59 "," ₡3,058.42 "," ₡3,398.24 "," ₡3,992.93 ", (0.81)
40422795,DEGREE DESOD SHOWER CLEAN," ₡7,887.25 "," ₡8,202.74 "," ₡9,070.34 "," ₡9,464.70 "," ₡10,253.43 "," ₡11,042.15 "," ₡11,830.88 "," ₡12,619.60 "," ₡14,197.05 "," ₡15,774.50 "," ₡18,535.04 ", (0.81)
10011863,DENK-AIR ADULTOS 10MGX28 COMP," ₡7,039.22 "," ₡7,320.79 "," ₡8,095.10 "," ₡8,447.06 "," ₡9,150.99 "," ₡9,854.91 "," ₡10,558.83 "," ₡11,262.75 "," ₡12,670.60 "," ₡14,078.44 "," ₡16,542.17 ", (0.81)
10011849,DENK-AIR JUNIOR 4MG X28 COMPRIMIDOS MASTICABLES," ₡5,691.18 "," ₡5,918.83 "," ₡6,544.86 "," ₡6,829.42 "," ₡7,398.53 "," ₡7,967.65 "," ₡8,536.77 "," ₡9,105.89 "," ₡10,244.12 "," ₡11,382.36 "," ₡13,374.27 ", (0.81)
10033065,DEPO-MEDROL 40 MG/ML*1 AMP," ₡5,691.18 "," ₡5,918.83 "," ₡6,544.86 "," ₡6,829.42 "," ₡7,398.53 "," ₡7,967.65 "," ₡8,536.77 "," ₡9,105.89 "," ₡10,244.12 "," ₡11,382.36 "," ₡13,374.27 ", (0.81)
10033065,DEPO-MEDROL 40 MG/ML*1 AMP," ₡12,112.75 "," ₡12,597.26 "," ₡13,929.66 "," ₡14,535.30 "," ₡15,746.58 "," ₡16,957.85 "," ₡18,169.13 "," ₡19,380.40 "," ₡21,802.95 "," ₡24,225.50 "," ₡28,464.96 ", (0.81)
10132001,DERMACORTINE CREMA," ₡12,142.16 "," ₡12,627.85 "," ₡13,963.48 "," ₡14,570.59 "," ₡15,784.81 "," ₡16,999.02 "," ₡18,213.24 "," ₡19,427.46 "," ₡21,855.89 "," ₡24,284.32 "," ₡28,534.08 ", (0.81)
10131999,DERMACORTINE LOCION," ₡1,948.95 "," ₡2,026.91 "," ₡2,241.29 "," ₡2,338.74 "," ₡2,533.64 "," ₡2,728.53 "," ₡2,923.43 "," ₡3,118.32 "," ₡3,508.11 "," ₡3,897.90 "," ₡4,580.03 ", (0.81)
40410004,DERMETIQUE CREMA DESODORANTE 50 GRS," ₡8,700.98 "," ₡9,049.02 "," ₡10,006.13 "," ₡10,441.18 "," ₡11,311.27 "," ₡12,181.37 "," ₡13,051.47 "," ₡13,921.57 "," ₡15,661.76 "," ₡17,401.96 "," ₡20,447.30 ", (0.81)
10131998,DERMOSUPRIL LOCION," ₡3,436.27 "," ₡3,573.72 "," ₡3,951.71 "," ₡4,123.52 "," ₡4,467.15 "," ₡4,810.78 "," ₡5,154.41 "," ₡5,498.03 "," ₡6,185.29 "," ₡6,872.54 "," ₡8,075.23 ", (0.81)
10132000,DERMOTREX ALCAMES 30 GRS," ₡1,323.01 "," ₡1,375.93 "," ₡1,521.46 "," ₡1,587.61 "," ₡1,719.91 "," ₡1,852.21 "," ₡1,984.52 "," ₡2,116.82 "," ₡2,381.42 "," ₡2,646.02 "," ₡3,109.07 ", (0.81)
90940463,DESINFECTANTE GALON ECONOMICO MYBI," ₡1,323.01 "," ₡1,375.93 "," ₡1,521.46 "," ₡1,587.61 "," ₡1,719.91 "," ₡1,852.21 "," ₡1,984.52 "," ₡2,116.82 "," ₡2,381.42 "," ₡2,646.02 "," ₡3,109.07 ", (0.81)
90940463,DESINFECTANTE GALON ECONOMICO MYBI," ₡16,857.84 "," ₡17,532.15 "," ₡19,386.52 "," ₡20,229.41 "," ₡21,915.19 "," ₡23,600.98 "," ₡25,286.76 "," ₡26,972.54 "," ₡30,344.11 "," ₡33,715.68 "," ₡39,615.92 ", (0.81)
10011161,DESKAN-C RAVEN  25MG *100 TABLETAS," ₡139,760.00 "," ₡145,350.40 "," ₡160,724.00 "," ₡167,712.00 "," ₡181,688.00 "," ₡195,664.00 "," ₡209,640.00 "," ₡223,616.00 "," ₡251,568.00 "," ₡279,520.00 "," ₡328,436.00 ", (0.81)
90970332,"DESKTOP LENOVO THINKCENTRE M93P TINY 	"," ₡2,343.14 "," ₡2,436.87 "," ₡2,694.61 "," ₡2,811.77 "," ₡3,046.08 "," ₡3,280.40 "," ₡3,514.71 "," ₡3,749.02 "," ₡4,217.65 "," ₡4,686.28 "," ₡5,506.38 ", (0.81)
10040049,DESLORATADINA LA SANTE 0.O5% 60ML.," ₡3,650.07 "," ₡3,796.07 "," ₡4,197.58 "," ₡4,380.08 "," ₡4,745.09 "," ₡5,110.10 "," ₡5,475.11 "," ₡5,840.11 "," ₡6,570.13 "," ₡7,300.14 "," ₡8,577.66 ", (0.81)
10010253,DESLORATADINA LA SANTE 5MG*10 TABLETAS," ₡1,699.12 "," ₡1,767.08 "," ₡1,953.99 "," ₡2,038.94 "," ₡2,208.86 "," ₡2,378.77 "," ₡2,548.68 "," ₡2,718.59 "," ₡3,058.42 "," ₡3,398.24 "," ₡3,992.93 ", (0.81)
40424758,"DESODORANTE DEGREE BARRA WOMEN SHEER POWDER 1,6OZ"," ₡2,008.85 "," ₡2,089.20 "," ₡2,310.18 "," ₡2,410.62 "," ₡2,611.51 "," ₡2,812.39 "," ₡3,013.28 "," ₡3,214.16 "," ₡3,615.93 "," ₡4,017.70 "," ₡4,720.80 ", (0.81)
90940588,DETERGENTE EN POLVO  1000 GRAMOS," ₡13,299.02 "," ₡13,830.98 "," ₡15,293.87 "," ₡15,958.82 "," ₡17,288.73 "," ₡18,618.63 "," ₡19,948.53 "," ₡21,278.43 "," ₡23,938.24 "," ₡26,598.04 "," ₡31,252.70 ", (0.81)
10010254,DEVINCAL * 30 CAPSULAS," ₡3,524.51 "," ₡3,665.49 "," ₡4,053.19 "," ₡4,229.41 "," ₡4,581.86 "," ₡4,934.31 "," ₡5,286.77 "," ₡5,639.22 "," ₡6,344.12 "," ₡7,049.02 "," ₡8,282.60 ", (0.81)
16070013,DEXANEO SOLUCION OFTALMICA GOTAS 5 ML," ₡2,264.71 "," ₡2,355.30 "," ₡2,604.42 "," ₡2,717.65 "," ₡2,944.12 "," ₡3,170.59 "," ₡3,397.07 "," ₡3,623.54 "," ₡4,076.48 "," ₡4,529.42 "," ₡5,322.07 ", (0.81)
16070015,"DEXANEO UNGÜENTO OFTALMICO 3,5 GRS"," ₡2,563.73 "," ₡2,666.28 "," ₡2,948.29 "," ₡3,076.48 "," ₡3,332.85 "," ₡3,589.22 "," ₡3,845.60 "," ₡4,101.97 "," ₡4,614.71 "," ₡5,127.46 "," ₡6,024.77 ", (0.81)
10040048,DEXTROMETORFANO LISAN JBE," ₡40,250.00 "," ₡41,860.00 "," ₡46,287.50 "," ₡48,300.00 "," ₡52,325.00 "," ₡56,350.00 "," ₡60,375.00 "," ₡64,400.00 "," ₡72,450.00 "," ₡80,500.00 "," ₡94,587.50 ", (0.81)
10010264,DIACORT *150 CAPSULAS," ₡4,191.18 "," ₡4,358.83 "," ₡4,819.86 "," ₡5,029.42 "," ₡5,448.53 "," ₡5,867.65 "," ₡6,286.77 "," ₡6,705.89 "," ₡7,544.12 "," ₡8,382.36 "," ₡9,849.27 ", (0.81)
10040050,DIACORT SUSP. 100 ML," ₡4,171.57 "," ₡4,338.43 "," ₡4,797.31 "," ₡5,005.88 "," ₡5,423.04 "," ₡5,840.20 "," ₡6,257.36 "," ₡6,674.51 "," ₡7,508.83 "," ₡8,343.14 "," ₡9,803.19 ", (0.81)
10011759,DIAMENIL 1000MG*30 CAPS LIB PROLONGADA," ₡3,039.22 "," ₡3,160.79 "," ₡3,495.10 "," ₡3,647.06 "," ₡3,950.99 "," ₡4,254.91 "," ₡4,558.83 "," ₡4,862.75 "," ₡5,470.60 "," ₡6,078.44 "," ₡7,142.17 ", (0.81)
10010865,DIAMENIL 850MG," ₡8,205.88 "," ₡8,534.12 "," ₡9,436.76 "," ₡9,847.06 "," ₡10,667.64 "," ₡11,488.23 "," ₡12,308.82 "," ₡13,129.41 "," ₡14,770.58 "," ₡16,411.76 "," ₡19,283.82 ", (0.81)
10011291,DIAMENIL G 1000/2 MG X 30 TABLETAS," ₡8,593.14 "," ₡8,936.87 "," ₡9,882.11 "," ₡10,311.77 "," ₡11,171.08 "," ₡12,030.40 "," ₡12,889.71 "," ₡13,749.02 "," ₡15,467.65 "," ₡17,186.28 "," ₡20,193.88 ", (0.81)
14010017,DIANE-35 TAB X 21," ₡20,676.47 "," ₡21,503.53 "," ₡23,777.94 "," ₡24,811.76 "," ₡26,879.41 "," ₡28,947.06 "," ₡31,014.71 "," ₡33,082.35 "," ₡37,217.65 "," ₡41,352.94 "," ₡48,589.70 ", (0.81)
10010268,DICETEL * 28 TABLETAS," ₡3,534.31 "," ₡3,675.68 "," ₡4,064.46 "," ₡4,241.17 "," ₡4,594.60 "," ₡4,948.03 "," ₡5,301.47 "," ₡5,654.90 "," ₡6,361.76 "," ₡7,068.62 "," ₡8,305.63 ", (0.81)
10050015,DICLO K GOTAS 15 ML," ₡5,147.06 "," ₡5,352.94 "," ₡5,919.12 "," ₡6,176.47 "," ₡6,691.18 "," ₡7,205.88 "," ₡7,720.59 "," ₡8,235.30 "," ₡9,264.71 "," ₡10,294.12 "," ₡12,095.59 ", (0.81)
10110002,DICLO-K 12.5 * 5 SUPOSITORIOS," ₡3,519.61 "," ₡3,660.39 "," ₡4,047.55 "," ₡4,223.53 "," ₡4,575.49 "," ₡4,927.45 "," ₡5,279.42 "," ₡5,631.38 "," ₡6,335.30 "," ₡7,039.22 "," ₡8,271.08 ", (0.81)
10132428,DICLOFEDOL GEL 60 GRS.," ₡22,004.90 "," ₡22,885.10 "," ₡25,305.64 "," ₡26,405.88 "," ₡28,606.37 "," ₡30,806.86 "," ₡33,007.35 "," ₡35,207.84 "," ₡39,608.82 "," ₡44,009.80 "," ₡51,711.52 ", (0.81)
10033073,DICLORFEN 1ML*5 AMP.," ₡8,004.81 "," ₡8,325.00 "," ₡9,205.53 "," ₡9,605.77 "," ₡10,406.25 "," ₡11,206.73 "," ₡12,007.22 "," ₡12,807.70 "," ₡14,408.66 "," ₡16,009.62 "," ₡18,811.30 ", (0.81)
10033072,DICYNONE 250MG/2ML*4," ₡22,068.63 "," ₡22,951.38 "," ₡25,378.92 "," ₡26,482.36 "," ₡28,689.22 "," ₡30,896.08 "," ₡33,102.95 "," ₡35,309.81 "," ₡39,723.53 "," ₡44,137.26 "," ₡51,861.28 ", (0.81)
10010274,DIFLUCAN 150MG*4 CAPSULAS," ₡2,563.73 "," ₡2,666.28 "," ₡2,948.29 "," ₡3,076.48 "," ₡3,332.85 "," ₡3,589.22 "," ₡3,845.60 "," ₡4,101.97 "," ₡4,614.71 "," ₡5,127.46 "," ₡6,024.77 ", (0.81)
10010283,DIGESPLEN -N *20 CAPSULAS," ₡2,700.98 "," ₡2,809.02 "," ₡3,106.13 "," ₡3,241.18 "," ₡3,511.27 "," ₡3,781.37 "," ₡4,051.47 "," ₡4,321.57 "," ₡4,861.76 "," ₡5,401.96 "," ₡6,347.30 ", (0.81)
10033069,DIMENHIDRINATO ALCAMES 50 MG/ML.5 ML.," ₡9,774.51 "," ₡10,165.49 "," ₡11,240.69 "," ₡11,729.41 "," ₡12,706.86 "," ₡13,684.31 "," ₡14,661.77 "," ₡15,639.22 "," ₡17,594.12 "," ₡19,549.02 "," ₡22,970.10 ", (0.81)
10010277,DIOSMINA-HESPERIDINA CALOX 450MG-50MG," ₡10,696.08 "," ₡11,123.92 "," ₡12,300.49 "," ₡12,835.30 "," ₡13,904.90 "," ₡14,974.51 "," ₡16,044.12 "," ₡17,113.73 "," ₡19,252.94 "," ₡21,392.16 "," ₡25,135.79 ", (0.81)
10010278,DIOVAN 160MG *14 TABLETAS," ₡10,602.94 "," ₡11,027.06 "," ₡12,193.38 "," ₡12,723.53 "," ₡13,783.82 "," ₡14,844.12 "," ₡15,904.41 "," ₡16,964.70 "," ₡19,085.29 "," ₡21,205.88 "," ₡24,916.91 ", (0.81)
10010265,DIOVAN 320MG *14 TABLETAS," ₡6,431.37 "," ₡6,688.62 "," ₡7,396.08 "," ₡7,717.64 "," ₡8,360.78 "," ₡9,003.92 "," ₡9,647.06 "," ₡10,290.19 "," ₡11,576.47 "," ₡12,862.74 "," ₡15,113.72 ", (0.81)
10033067,DIPRONOVA AMP 1ML," ₡9,622.55 "," ₡10,007.45 "," ₡11,065.93 "," ₡11,547.06 "," ₡12,509.32 "," ₡13,471.57 "," ₡14,433.83 "," ₡15,396.08 "," ₡17,320.59 "," ₡19,245.10 "," ₡22,612.99 ", (0.81)
10033074,DIPRONOVA AMP. 2 ML.," ₡23,715.69 "," ₡24,664.32 "," ₡27,273.04 "," ₡28,458.83 "," ₡30,830.40 "," ₡33,201.97 "," ₡35,573.54 "," ₡37,945.10 "," ₡42,688.24 "," ₡47,431.38 "," ₡55,731.87 ", (0.81)
10010270,DISGREN 300MG * 20 CAPSULAS," ₡23,715.69 "," ₡24,664.32 "," ₡27,273.04 "," ₡28,458.83 "," ₡30,830.40 "," ₡33,201.97 "," ₡35,573.54 "," ₡37,945.10 "," ₡42,688.24 "," ₡47,431.38 "," ₡55,731.87 ", (0.81)
10010270,DISGREN 300MG * 20 CAPSULAS," ₡35,357.84 "," ₡36,772.15 "," ₡40,661.52 "," ₡42,429.41 "," ₡45,965.19 "," ₡49,500.98 "," ₡53,036.76 "," ₡56,572.54 "," ₡63,644.11 "," ₡70,715.68 "," ₡83,090.92 ", (0.81)
10010286,DISLEP 25MG *100 TABLETAS," ₡7,318.63 "," ₡7,611.38 "," ₡8,416.42 "," ₡8,782.36 "," ₡9,514.22 "," ₡10,246.08 "," ₡10,977.95 "," ₡11,709.81 "," ₡13,173.53 "," ₡14,637.26 "," ₡17,198.78 ", (0.81)
10050017,DISLEP GOTAS 20 ML.," ₡2,420.35 "," ₡2,517.16 "," ₡2,783.40 "," ₡2,904.42 "," ₡3,146.46 "," ₡3,388.49 "," ₡3,630.53 "," ₡3,872.56 "," ₡4,356.63 "," ₡4,840.70 "," ₡5,687.82 ", (0.81)
90970093,DISPENSADOR DE CINTA GRANDE 12*50, ₡1.02 , ₡1.06 , ₡1.17 , ₡1.22 , ₡1.33 , ₡1.43 , ₡1.53 , ₡1.63 , ₡1.84 , ₡2.04 , ₡2.40 , (0.81)
90940519,DISPENSADOR ELEVATI MINI JUMBO ROLL, ₡730.09 , ₡759.29 , ₡839.60 , ₡876.11 , ₡949.12 ," ₡1,022.13 "," ₡1,095.14 "," ₡1,168.14 "," ₡1,314.16 "," ₡1,460.18 "," ₡1,715.71 ", (0.81)
50521841,DISPOSITIVO URINARIO FEMENINO DESECHABLES * 5 UNI," ₡16,666.67 "," ₡17,333.34 "," ₡19,166.67 "," ₡20,000.00 "," ₡21,666.67 "," ₡23,333.34 "," ₡25,000.01 "," ₡26,666.67 "," ₡30,000.01 "," ₡33,333.34 "," ₡39,166.67 ", (0.81)
10010933,DIUM 150MG X 30 TAB.," ₡16,666.67 "," ₡17,333.34 "," ₡19,166.67 "," ₡20,000.00 "," ₡21,666.67 "," ₡23,333.34 "," ₡25,000.01 "," ₡26,666.67 "," ₡30,000.01 "," ₡33,333.34 "," ₡39,166.67 ", (0.81)
10010933,DIUM 150MG X 30 TAB.," ₡17,936.27 "," ₡18,653.72 "," ₡20,626.71 "," ₡21,523.52 "," ₡23,317.15 "," ₡25,110.78 "," ₡26,904.41 "," ₡28,698.03 "," ₡32,285.29 "," ₡35,872.54 "," ₡42,150.23 ", (0.81)
10011080,DIUM CAPSULAS  75 MG *30 TABLETAS," ₡5,984.88 "," ₡6,224.28 "," ₡6,882.61 "," ₡7,181.86 "," ₡7,780.34 "," ₡8,378.83 "," ₡8,977.32 "," ₡9,575.81 "," ₡10,772.78 "," ₡11,969.76 "," ₡14,064.47 ", (0.81)
14010063,DIVINALT *21 COMPRIMIDOS," ₡7,127.45 "," ₡7,412.55 "," ₡8,196.57 "," ₡8,552.94 "," ₡9,265.69 "," ₡9,978.43 "," ₡10,691.18 "," ₡11,403.92 "," ₡12,829.41 "," ₡14,254.90 "," ₡16,749.51 ", (0.81)
14010016,DIXI 35 TABLETAS X 21," ₡9,656.86 "," ₡10,043.13 "," ₡11,105.39 "," ₡11,588.23 "," ₡12,553.92 "," ₡13,519.60 "," ₡14,485.29 "," ₡15,450.98 "," ₡17,382.35 "," ₡19,313.72 "," ₡22,693.62 ", (0.81)
10010307,DOGMATIL 50MG * 30 CAPSULAS," ₡9,990.20 "," ₡10,389.81 "," ₡11,488.73 "," ₡11,988.24 "," ₡12,987.26 "," ₡13,986.28 "," ₡14,985.30 "," ₡15,984.32 "," ₡17,982.36 "," ₡19,980.40 "," ₡23,476.97 ", (0.81)
10010306,DOLGENAL 20MG *10 TABLETAS," ₡2,095.00 "," ₡2,178.80 "," ₡2,409.25 "," ₡2,514.00 "," ₡2,723.50 "," ₡2,933.00 "," ₡3,142.50 "," ₡3,352.00 "," ₡3,771.00 "," ₡4,190.00 "," ₡4,923.25 ", (0.81)
10033075,DOLGENAL 30 MG/1 ML*25," ₡54,921.57 "," ₡57,118.43 "," ₡63,159.81 "," ₡65,905.88 "," ₡71,398.04 "," ₡76,890.20 "," ₡82,382.36 "," ₡87,874.51 "," ₡98,858.83 "," ₡109,843.14 "," ₡129,065.69 ", (0.81)
10033076,DOLGENAL 60 MG/2ML*25," ₡23,382.35 "," ₡24,317.64 "," ₡26,889.70 "," ₡28,058.82 "," ₡30,397.06 "," ₡32,735.29 "," ₡35,073.53 "," ₡37,411.76 "," ₡42,088.23 "," ₡46,764.70 "," ₡54,948.52 ", (0.81)
10010302,DOLO MEDOX *100 TABLETAS," ₡3,279.41 "," ₡3,410.59 "," ₡3,771.32 "," ₡3,935.29 "," ₡4,263.23 "," ₡4,591.17 "," ₡4,919.12 "," ₡5,247.06 "," ₡5,902.94 "," ₡6,558.82 "," ₡7,706.61 ", (0.81)
10033077,DOLO MEDOX AMPOLLAS," ₡32,769.61 "," ₡34,080.39 "," ₡37,685.05 "," ₡39,323.53 "," ₡42,600.49 "," ₡45,877.45 "," ₡49,154.42 "," ₡52,431.38 "," ₡58,985.30 "," ₡65,539.22 "," ₡77,008.58 ", (0.81)
10010299,DOLONEUROBION N *120 TABLETAS," ₡4,715.69 "," ₡4,904.32 "," ₡5,423.04 "," ₡5,658.83 "," ₡6,130.40 "," ₡6,601.97 "," ₡7,073.54 "," ₡7,545.10 "," ₡8,488.24 "," ₡9,431.38 "," ₡11,081.87 ", (0.81)
10033078,DOLONEUROBION N AMPOLLAS," ₡54,313.73 "," ₡56,486.28 "," ₡62,460.79 "," ₡65,176.48 "," ₡70,607.85 "," ₡76,039.22 "," ₡81,470.60 "," ₡86,901.97 "," ₡97,764.71 "," ₡108,627.46 "," ₡127,637.27 ", (0.81)
10010293,DOLONEUROBION XR *60 TABLETAS," ₡4,950.98 "," ₡5,149.02 "," ₡5,693.63 "," ₡5,941.18 "," ₡6,436.27 "," ₡6,931.37 "," ₡7,426.47 "," ₡7,921.57 "," ₡8,911.76 "," ₡9,901.96 "," ₡11,634.80 ", (0.81)
10050019,DOLORAN GOTAS 100 MG/10 ML RAVEN," ₡19,073.53 "," ₡19,836.47 "," ₡21,934.56 "," ₡22,888.24 "," ₡24,795.59 "," ₡26,702.94 "," ₡28,610.30 "," ₡30,517.65 "," ₡34,332.35 "," ₡38,147.06 "," ₡44,822.80 ", (0.81)
10020053,DOLOTENS 1500 MG/15MG *30 SOBRES," ₡4,294.12 "," ₡4,465.88 "," ₡4,938.24 "," ₡5,152.94 "," ₡5,582.36 "," ₡6,011.77 "," ₡6,441.18 "," ₡6,870.59 "," ₡7,729.42 "," ₡8,588.24 "," ₡10,091.18 ", (0.81)
10050018,DOPRESOL GOTAS," ₡7,409.19 "," ₡7,705.56 "," ₡8,520.57 "," ₡8,891.03 "," ₡9,631.95 "," ₡10,372.87 "," ₡11,113.79 "," ₡11,854.70 "," ₡13,336.54 "," ₡14,818.38 "," ₡17,411.60 ", (0.81)
10040174,DOPRESOL JARABE 60 ML," ₡6,313.73 "," ₡6,566.28 "," ₡7,260.79 "," ₡7,576.48 "," ₡8,207.85 "," ₡8,839.22 "," ₡9,470.60 "," ₡10,101.97 "," ₡11,364.71 "," ₡12,627.46 "," ₡14,837.27 ", (0.81)
10010295,DORIVAL 200MG *60 TABLETAS," ₡2,558.82 "," ₡2,661.17 "," ₡2,942.64 "," ₡3,070.58 "," ₡3,326.47 "," ₡3,582.35 "," ₡3,838.23 "," ₡4,094.11 "," ₡4,605.88 "," ₡5,117.64 "," ₡6,013.23 ", (0.81)
10010294,DORIVAL 200MG*12 LIQUI-GELS," ₡6,857.84 "," ₡7,132.15 "," ₡7,886.52 "," ₡8,229.41 "," ₡8,915.19 "," ₡9,600.98 "," ₡10,286.76 "," ₡10,972.54 "," ₡12,344.11 "," ₡13,715.68 "," ₡16,115.92 ", (0.81)
10010290,DORIVAL LIQUI-GELS *36 CAPSULAS," ₡8,544.12 "," ₡8,885.88 "," ₡9,825.74 "," ₡10,252.94 "," ₡11,107.36 "," ₡11,961.77 "," ₡12,816.18 "," ₡13,670.59 "," ₡15,379.42 "," ₡17,088.24 "," ₡20,078.68 ", (0.81)
